FID,ZID,REC_NO,REC_TYPE,DEP_NUM,REP_DATE,INFO_SRC,FIL_LINK,REP,REP_AFF,SYN,DIST,COUNTY,STATE,COUNTRY,PHYS,DRAIN,LAND_ST,QUAD1,Q1_SCALE,QUAD2,Q2_SCALE,ELEV,UTM_N,UTM_E,UTM_Z,ACC,TOWNSHIP,RANGE,SECTION,SECT_FRACT,MERIDIAN,POSITION,LOCATION,SITE_NAME,LAT,LONG,COMMOD,ORE_MAT,COM_SUB,GEN_ANAL,COM_INFO,MAJOR,MINOR,POTEN,OCCUR,NP_MAIN,NP_MINOR,PROD,LOCAL_STRU,STATUS,DISC,YR_DISC,NAT_DISC,YR_1ST_PRO,YR_LAST_PR,OWNER,OPER,EXPL_COM,DEP_TYPE,DEP_FORM,DEPTH_TOP,DEP_T_U,DEPTH_BOT,DEP_B_U,MAX_LEN,M_L_U,MAX_WID,M_W_U,MAX_THICK,M_T_U,DEP_SIZE,STRIKE,DIP,PLUNGE_DIR,PLUNGE,DEP_DESC_C,DEPTH_WK,D_WK_U,LEN_WK,L_WK_U,OV_LEN_WK,O_L_U,OV_WID_WK,O_W_U,OV_AREA_WK,O_A_U,DESC_WORK_,HR_AGE,HR_TYPE,IG_AGE,IG_TYPE,MIN_AGE,NON_ORE_MI,ORE_CNTL,TECT_SET,REG_STRUCT,ALTER_,CONC,FORM_AGE,FORM_NAME,FORM2_AGE,FORM2_NAME,IG_UNIT_AG,IG_UNIT_NA,IG2_UNIT_A,IG2_UNIT_N,GEOL_COM,GEN_COM,RF1,RF2,RF3,RF4,DESC_WORK,AP_ITEM,AP_ACC,AP_AMT,AP_U,AP_YEAR,AP_GRADE,CP_ITEM,CP_ACC,CP_AMT,CP_U,CP_YEAR,CP_GRADE,P_SOURCE,P_COM,RPR_ITEM,RPR_ACC,RPR_AMT,RPR_U,RPR_YEAR,RPR_GRADE,RPR_SOURCE,RPR_COM,R_ITEM,R_ACC,R_AMT,R_U,R_YEAR,R_GRADE,R_SOURCE,R_COM,PR_ITEM,PR_ACC,PR_AMT,PR_U,PR_YEAR,PR_GRADE,PR_SOURCE,PR_COM,REF
153,2603,W018763,X1N,15 - WILD HORSE - 11,77 03, , ,TRIMBLE; LARRY M., , ,SAN RAFAEL DISTRICT,EMERY,UT,US,11 SAN RAFAEL SWELL,14 COLORADO RIVER BELOW GREEN RIVER III-2,49, , ,SALINA,250000,5760 FT,4282600,501570,12,UNKNOWN PR,024S,008E,24, ,SALT LAKE,.6 MILE NE OF TOMSICH BUTTE,SECTION SUBDIVISION: SW 1/4; SW 1/4; SE 1/4; SEC. 24,RIO COLORADO,38-41-38N,110-58-55W,U, , , , , ,U, , , , ,S, ,6, ,1950'S,B, , ,DONALD HANNI, , ,REPLACEMENT - BEDDED,TABULAR,50,FT,75,FT,20,FT,10,FT,2,FT,SMALL,N 28 DEG E,9 DEG NW, , , ,75,FT,115,FT, , , , , , ,3 ADITS AT ONE LOCATION. ONE SMALL HOLE 200 FT WEST,TRI,SANDSTONE; MUDSTONE, , ,ETERT, ,PALEOCHANNELS; CARBONACEOUS MATERIAL,STABLE PLATFORM,SAN RAFAEL SWELL,BLEACHING IN MUDSTONE AND SANDSTONE,GROUND WATER SOLUTION PRECIPITATING IN A REDUCING ENVIRONMENT,TRI ýTRI,CHINLE FORMATION - MOSS BACK MEMBER ýCHINLE FORMATION - MOTTLED SILTSTONE UNIT, , , , , , , , ,HAWLEY; C. C.; AND OTHERS; 1968; GEOLOGY; ALTERED ROCKS OF THE SAN RAFAEL SWELL; EMERY COUNTY; UTAH; USGS BULL. 1239, , , ,U, , , , , , , , , , , , ,TRIMBLE; L. M.; 1977,PRODUCTION WAS PROBABLY VERY SMALL; LIMITED TO A FEW TONS OF LOW GRADE, , , , , , , , , , , , , , , , ,ORE U,SML, , , , ,TRIMBLE; L. M.; 1977, ,0
154,2387,W014805,X1N,15 - TID BOT - 37,77 02, ,BLM,TRIMBLE; LARRY M.,BLM,SHATTUCK DENN; LITTLE LIL,GREEN RIVER DESERT DISTRICT,EMERY,UT,US,11,14,49, , ,SALINA,250000,4460 FT,4314600,555100,12,UNKNOWN PR,021S,014E,15, ,SALT LAKE,4.0 MILES NORTH 9 DEG. EAST OF THE HANKSVILLE INTERCHANGE ON INTERSTATE HIGHWAY 70,MORE EXACT MERIDIAN LOCATION SE 1/4 SW 1/4 SE 1/4 SEC. 15; T 21S; R 14E.,NEWELL (SHAFT) MINE,38-58-50N,110-21-50W,U V,TYUYAMUNITE; COFFINITE; CORVUSITE; URANINITE MONTROSEITE, ,.826 % U3O8 ; 1.20 % V2O5 ; .13 % EU3O8 ; .222 EU3O8, ,U,V, , , , ,L,PERIODIC FOLDS IN SUB - MORRISON SEDIMENTS SALERATUS GRABEN,6, ,1965,B, , ,ATLAS MINERALS CORP.,ATLAS MINERALS CORP.,L60 - ECONOMIC STUDY (1957); L70 - ECONOMIC STUDY (1975 - 76),BEDDED; CLASTIC SEDIMENTARY ROCK; REPLACEMENT,PINCH AND SWELL OR LENTICULAR,300,FT,500,FT,800,FT,100,FT,8,FT,LARGE,N 10 DEG E,8 DEG SE,NE,5 DEG,THE DEPOSITS ARE ELONGATE IN THE DIRECTION OF PALEOCHANNELS.,450,FT, , , , , , , , ,THE LENGTH OF WORKINGS OF THE NEWELL ARE INCLUDED IN THE WORKINGS OF THE #7 INCLINE GROUP (19;605 FT). SINCE ALL WORKINGS OF THE #7 INCLINE; #1 SHAFT #2 SHAFT; WELSH SHAFT; AND NEWELL SHAFT OR CONNECTED.,LJUR,SANDSTONE; CONGLOMERATE, , ,LCRET,CALCITE; LIMONITE; PYRITE,PLANT REMAINS; PALEOCHANNELS,STABLE PLATFORM,SAN RAFAEL SWELL; UINTA BASIN; PARADOX FOLD - AND FAULT BELT.,BLEACHING IN MUDSTONE AND SANDSTONE,PRIMARY ORE MINERALS PRECIPITATED IN A REDUCING ENVIRONMENT,LJUR,SALT WASH MEMBER OF MORRISON FORMATION, , , , , , ,MINERILIZATION IS LARGELY CONFINED TO PALEO CHANNELS AND IS CLOSELY RELATED TO PLANT REMAINS; WHICH HAVE BEEN PARTIALLY OR WHOLLY REPLACED BY URANIUM AND/OR VANDIUM MINERALS, ,TRIMBLE; L. M. AND H. H. DOELLING; 1976; GEOLOGY AND URANIUM ORE DEPOSITS OF THE SAN RAFAEL RIVER; MINING AREA; UTAH GEOL. AND MIN. SURV. BULL. (UNPUBLISHED),YOUNG; R. G. AND OTHERS 1957; GEOLOGY OF THE SAN RAFAEL RIVER DESERT MINING DISTRICT; EMERY AND GRAND CO.; UTAH: USAEC RME - 98,CRAIG; L. C.; AND D. D. DICKEY; 1956; JURASSIC STRATA OF SOUTHEASTERN UTAH AND SOUTHWESTERN COLO.: IAPG GUIDEBOOK; 7TH ANN. FIELD CONF. PP. 93 - 104,STOKES; W. L.; 1952; LOWER CRETACEOUS IN COLORADO PLATEAU: AAPG BULLETIN; VOL. 36; PP. 1766 - 1776.,U,U ACC ýU ACC ýU ACC ýV ACC ý ý ý ýCON U ýCON U ýCON U ýCON V,ý ý ý ý ý ý ýACCýACCýACCýACC,3.34900ý 14.617ý 8.14900ý 14.617ý ý ý ý 12.172ý 39.404ý 26.701ý 12.012,ST ýST ýST ýST ý ý ý ýLB ýLB ýLB ýLB,1965ý1968ý1969ý1968,.18 % U3O8 ý.13 % U3O8 ý.16 % U3O8 ý.04 % V2O5,U ACC, ,295.044,LB,TO 1973, ,UGMS STUDY - 1973, , , , , , , , , , , , , , , , , ,ORE U,EST,20.000,ST,1977,INFERRED AT .10% U3O8,TRIMBLE; L. M. 1977, ,0
155,2558,W018718,X1N,15 - TEMPLE MTN - 11,77 03, , ,TRIMBLE; LARRY M., , ,TEMPLE MOUNTAIN AREA,EMERY,UT,US,11 SAN RAFAEL SWELL,14 GREEN RIVER BELOW WHITE RIVER II-4, , , ,SALINA,250000,5800 FT,4280550,527950,12,UNKNOWN PR, , ,35, ,SALT LAKE,1.0 MILES SOUTH OF TEMPLE MNT.,NW 1/4; SW 1/4; SW 1/4; SEC 35; T24S; R11E,NORTH MESA 7,38-40-30N,110-40-43W,U V,ASPHALTITE; CARNOTITE, , , ,U,V, , , , ,S,TEMPLE MOUNTAIN COLLAPSE,6, ,1940'S,B, , ,MINERAL ENERGY - ORE M,UNION CARBIDE, ,REPLACEMENT,ELONGATE TABULAR;,30,FT,70,FT,25,FT,15,FT,4,FT,SMALL,N 15 DEG E,10 DEG SE, , , ,100,FT,200,FT, , , , , , ,THE ROCK SLABBY AND PRONE TO CAVING,TRI,SANDSTONE; CONGLOMERATE MUDSTONE, , ,ETERT, ,PALEOCHANNELS; CARBONACEOUS MATERIAL,STABLE PLATFORM,SAN RAFAEL SWELL,BLEACHING IN SANDSTONE AND MUDSTONE,GROUND WATER SOLUTIONS,TRI,MOSS BACK MEMBER OF CHINLE FORMATION, , , , , , , , ,HAWLEY; C. C.; 1957; SAN RAFAEL SWELL; UTAH GEOLOGIC INVESTIGATIONS OF RADIOACTIVE DEPOSITS: USAEC TEL-690,HAWLEY; C. C.; AND OTHERS; 1965; GEOLOGY AND URANIUM DEPOSITS OF THE TEMPLE MTN. DISTRICT; EMERY CO. UT.: USGS BULL. 1192,HAWLEY; C. C.; AND OTHERS; 1968; GEOLOGY; ALTERED ROCKS; AND ORE DEPOSITS OF THE SAN RAFAEL SWELL; EMERY CO.; UT.: USGS BULL 1239, ,U, , , , , , , , , , , , , , , , , , , , , , ,ORE U,EST,0.50000,ST,1977,INDICATED AT .15%, , , , , , , , , , ,0
156,2361,W014779,X1N,15 - TID BOT - 11,77 01, ,BLM,TRIMBLE; LARRY M.,BLM,CAT BIRD #8; BIRTHDAY #1,GREEN RIVER DESERT DISTRICT,EMERY,UT,US,11,14,49, , ,SALINA,250000,4300 FT,4303725,552400,12,UNKNOWN PR,022S,014E,20, ,SALT LAKE,3.0 MILES SOUTH 21 DEG WEST OF THE HANKSVILLE INTERCHANGE ON INTERSTATE 70, ,FANTASTIC MINE,38-52-58N,110-23-45W,U V,TYUYAMUNITE, , , ,U,V, , , , ,M,PERIODIC FOLDS IN SUB - MORRISON SEDIMENTS,6, ,1960'S,B, , , ,BERT E. WILSON,L60 - ECONOMIC STUDY (1957); L70 - ECONOMIC STUDY (1975 - 76),BEDDED; CLASTIC SEDIMENTARY ROCK; REPLACEMENT,LENTICULAR, ,FT,4,FT,50,FT,25,FT,4,FT,MEDIUM,N 40 DEG W,3 DEG NE,NE,3 DEG, , , , , ,250,FT,40,FT,10000,SQ FT, ,LJUR,SANDSTONE, , ,LCRET,LIMONITE,PLANT REMAINS; PARTICULARLY LOGS,STABLE PLATFORM,SAN RAFAEL SWELL; UINTA BASIN; PARADOX FOLD - AND FAULT BELT, , ,LJUR,SALT WASH MEMBER OF MORRISON FORMATION, , , , , , , , ,TRIMBLE; L. M. AND H. H. DOELLING; 1976; GEOLOGY AND URANIUM ORE DEPOSITS OF THE SAN RAFAEL RIVER MINING AREA: UTAH GEOL. AND MIN. SUR. BULLETIN (UNPUBLISHED),YOUNG; R. G. AND OTHERS; 1957; GEOLOGY OF THE SAN RAFAEL RIVER DESERT MINING DISTRICT; EMERY AND GRAND CO.; UTAH: USAEC RME - 98,CRAIG; L. C.; AND D. D. DICKEY; 1956; JURASSIC STRATA OF SOUTHEASTERN UTAH AND SOUTHWESTERN COLO.: IAPG GUIDEBOOK; 7TH ANN. FIELD CONF. PP. (93 - 104),STOKES; W. L.; 1952; LOWER CRETACEOUS IN COLORADO PLATEAU: AAPG BULLETIN; VOL. 36 PP. 1766 - 1776,S,ý ý ý ý ý ý ýCON U ýCON V,ý ý ý ý ý ý ýACCýACC,ý ý ý ý ý ý ý 2.31600ý 0.09400,ý ý ý ý ý ý ýLB ýLB,ý ý ý ý ý ý ý1964ý1964, ,U ACC, ,5.75800,LB,1964-1973, ,UGMS STUDY - 1973, , , , , , , , , ,ORE U,SML, , , , ,UGMS STUDY - 1973, , , , , , , , , ,0
157,2493,W015526,X1N,15 - SAN RAFAEL KNOB - 16,77 03, ,BLM,MC CARTHY; BLAIR M.,BLM,BIG CANYON 1 & 2,SAN RAFAEL DISTRICT,EMERY,UT,US,11,14,49, , ,SALINA,250000,5930 FT,4289930,504560,12,UNKNOWN PR,/24S,009E,05, ,SALT LAKE,5.7 MILES WEST - SOUTHWEST FROM FAMILY BUTTE,SECTION SUBDIVISION: SW 1/4; SW 1/4; NE 1/4; SEC. 5,LUCKY STRIKE MINE,38-45-36N,110-56-51W,U CU PB ZN,ASPHALTITE; URANINITE; ZIPPEITE; CARBONIZED WOOD; MALACHITE; AZURITE; CHALCOCITE; GALENA; SPHALERITE, , , ,U, ,CU,PB ZN, , ,L,FAULTING,7, ,1949,B, , ,HANNERT MINING CO.; HANKSVILLE,HANNERT MINING CO.; HANKSVILLE, ,REPLACEMENT; DISSEMINATED,TABULAR - BLANKET,250,FT,350,FT,600,FT,750,FT,8,FT,LARGE,N 20 DEG E,3 DEG NW, , ,ORE IS IN THE MOSS BACK MEMBER OF CHINLE FORMATION,250,FT,1350,FT, , , , , , , ,TRI,SANDSTONE; PEBBLE CONGLOMERATE SOME MUDSTONE, , ,ETERT,PYRITE; COBALT BLOOM,LITHOLOGY,STABLE PLATFORM,SAN RAFAEL SWELL, ,GROUND WATER SOLUTION,TRI ýTRI,CHINLE FORMATION - MOSS BACK MEMBER ýCHINLE FORMATION - MONITOR BUTTE MEMBER, , , , , , , , ,HAWLEY; C.C. AND OTHERS; 1968; GEOLOGY; ALTERED ROCKS; AND ORE DEPOSITS OF THE SAN RAFAEL SWELL; EMERY CO.; UTAH;: USGS BULL. 1239, , , ,U, , , , , , ,U EST ýU ACC,ý,10.000ý 50.775,ST ýLBS,1949-1957 ý1949-1973,0.22% U3O8; 0.09% V2O5; U ORE ýU PRODUCED, , ,ORE U,EST,25.000,ST,1977,0.22% U3O8,MC CARTHY; 1977,STUDY NEEDED,ORE U,EST,5.00000,ST,1977,0.25% U3O8, , ,ORE U,EST,20.000,ST,1977,0.20% U3O8, , ,0
158,2368,W014786,X1N,15 - TID BOT - 18,77 01, ,BLM,TRIMBLE; LARRY M.,BLM, ,GREEN RIVER DESERT DISTRICT,EMERY,UT,US,11,14,49, , ,SALINA,250000,4480 FT,4310410,552860,12,UNKNOWN PR,021S,014E,33, ,SALT LAKE,1.5 MILES NORTH 32 DEG WEST OF HANKSVILLE INTERCHANGE ON INTERSTATE HIGHWAY 70,MORE EXACT MERIDIAN LOCATION NE 1/4 SW 1/4 SECT. 33; T 21S; R 14E,NORTH SLOPE 2 MINE,38-56-34N,110-23-24W,U V,TYUYAMUNITE; COFFINITE; CORVUSITE, , , ,U,V, , , , ,M,PERIODIC FOLDS IN SUB - MORRISON SEDIMENTS,6, ,1950'S,B, , ,REX POWELL, ,L60 - ECONOMIC STUDY (1957); L70 - ECONOMIC STUDY (1975 - 76),BEDDED; CLASTIC SEDIMENTARY ROCK; REPLACEMENT,PINCH AND SWELL OR LENTICULAR,50,FT,50,FT,100,FT,50,FT,6,FT,MEDIUM, , , , , ,50,FT,255,FT, , , , , , ,THE WORKINGS CONSIST OF THREE ADITS. TWO ADITS ARE IN ONE ORE BODY WITH WORKINGS CONNECTED. THE OTHER IS IN A SEPERATE BODY.,LJUR,SANDSTONE; CONGLOMERATE, , ,LCRET,CALCITE LIMONITE,PLANT REMAINS; PALEOCHANNELS,STABLE PLATFORM,SAN RAFAEL SWELL; UINTA BASIN; PARADOX FOLD - AND FAULT BELT,BLEACHING IN MUDSTONE,PRIMARY ORE MINERALS PRECIPITATED IN A REDUCING ENVIRONMENT,LJUR,SALT WASH MEMBER OF MORRISON FORMATION, , , , , , ,MINERALIZATION IS CONFINED TO PALEOCHANNELS AND IS CLOSELY RELATED TO PLANT REMAINS WHICH HAVE BEEN PARTIALLY OR WHOLLY REPLACED BY URANIUM AND/OR VANADIUM MINERALS, ,TRIMBLE; L. M. AND H. H. DOELLING; 1976; GEOLOGY AND URANIUM ORE DEPOSITS OF THE SAN RAFAEL RIVER MINING AREA: UTAH GEOL. AND MIN. SUR. BULLETIN (UNPUBLISHED),YOUNG; R. G. AND OTHERS; 1957; GEOLOGY OF THE SAN RAFAEL RIVER DESERT MINING DISTRICT; EMERY AND GRAND CO.; UTAH: USAEC RME - 98,CRAIG; L. C.; AND D. D. DICKEY; 1956; JURASSIC STRATA OF SOUTHEASTERN UTAH AND SOUTHWESTERN COLO.: IAPG GUIDEBOOK; 7TH ANN. FIELD CONF. PP. (93 - 104),STOKES; W. L.; 1952; LOWER CRETACEOUS IN COLORADO PLATEAU: AAPG BULLETIN; VOL. 36 PP. 1766 - 1776,U, , , , , , ,U ACC, ,1.96500,LB,TO 1973, ,UGMS STUDY 1973, , , , , , , , , , , , , , , , , ,ORE U ýORE U ýORE V ýORE V,ESTýESTýESTýEST,0.05000ý 0.50000ý 0.10000ý 1.00000,ST ýST ýST ýST,1973ý1973ý1973ý1973,INDICATED AT .20% U3O8 ýINFERRED AT .20% U3O8 ýINDICATED AT .20% U3O8 ýINFERRED AT .20% U3O8,UGMS STUDY 1973, ,0
159,2374,W014792,X1N,15 - TID BOT - 24,77 01, ,BLM,TRIMBLE; LARRY M.,BLM, ,GREEN RIVER DESERT DISTRICT,EMERY,UT,US,11,14,49, , ,SALINA,250000,4400 FT,4313025,554375,12,UNKNOWN PR,021S,014E,22, ,SALT LAKE,3.0 MILES N 2 DEG. EAST OF THE HANKSVILLE INTERCHANGE ON INTERSTATE HIGHWAY 70,MORE EXACT MERIDIAN LOCATION SE 1/4 SW 1/4 SW 1/4 SEC 22; T 21S; R 14E,INCLINE #9 MINE,38-57-59N,110-22-21W,U V,TYUYAMUNITE; COFFINITE; CORVUSITE; URANITE; MONTROSEITE, ,WET ANALYSIS 4.529 % U3O8 ; 8.850 % V2O5 ; 9.857 % U3O8 ; 2.55 % V2O5 ; EU3O8 .06 %; 1.168 %; .009 %; .033 %; .92 %; .39 %; .026 %; .586 %; 2.664 %; 1.787 %; 3.343 %., ,U,V, , , , ,L,PERIODIC FOLDS IN SUB - MORRISON SEDIMENTS SALERATUS GRABEN,8, ,1959,B, , ,ATLAS MINERALS CORP.,BIRCH BROTHERS MINING,L60 - ECONOMIC STUDY (1957); L70 - ECONOMIC STUDY (1975 - 76),BEDDED; CLASTIC SEDIMENTARY ROCK; REPLACEMENT,PINCH AND SWELL; LENTICULAR,50,FT,150,FT,500,FT,100,FT,10,FT,LARGE,N 10 DEG E,8 DEG SE,NE,6 DEG,THE DEPOSITS ARE ELONGATE ALONG PALEOCHANNELS.,150,FT,7150,FT, , , , , , , ,LJUR,SANDSTONE; CONGLOMERATE, , ,LCRET,CALCITE; LIMONITE,PLANT REMAINS; PALEOCHANNELS,STABLE PLATFORM,SAN RAFAEL SWELL; UINTA BASIN; PARADOX FOLD - AND FAULT BELT,BLEACHING IN MUDSTONE AND SANDSTONE,PRIMARY ORE MINERALS PRECIPITATED IN A REDUCING ENVIRONMENT,LJUR,SALT WASH MEMBER OF MORRISON FORMATION, , , , , , ,MINERALIZATION IS LARGELY CONFINED TO PALEOCHANNELS AND IS CLOSELY RELATED TO PLANT REMAINS WHICH HAVE BEEN PARTIALLY OR WHOLLY REPLACED BY URANIUM AND/OR VANADIUM MINERALS., ,TRIMBLE; L. M. AND H. H. DOELLING; 1976; GEOLOGY AND URANIUM ORE DEPOSITS OF THE SAN RAFAEL RIVER MINING AREA: UTAH GEOL. AND MIN. SUR. BULLETIN (UNPUBLISHED),YOUNG; R. G. AND OTHERS; 1957; GEOLOGY OF THE SAN RAFAEL RIVER DESERT MINING DISTRICT; EMERY AND GRAND CO.; UTAH: USAEC RME - 98,CRAIG; L. C.; AND D. D. DICKEY; 1956; JURASSIC STRATA OF SOUTHEASTERN UTAH AND SOUTHWESTERN COLO.: IAPG GUIDEBOOK; 7TH ANN. FIELD CONF. PP. (93 - 104),STOKES; W. L.; 1952; LOWER CRETACEOUS IN COLORADO PLATEAU: AAPG BULLETIN; VOL. 36 PP. 1766 - 1776, ,U ACC ýU ACC ý ý ý ý ý ýCONV ýCONV,ý ý ý ý ý ý ýACCý,2.15900ý 0.85900ý ý ý ý ý ý 11.003ý 4.28400,ST ýST ý ý ý ý ý ýLB ýLB,1964ý1965ý ý ý ý ý ý1964ý1964,.25 % U3O8 ý.25 % U3O8 ý ý ý ý ý ý.25% U3O8 ý.25% U3O8,U ACC, ,145.518,LB,TO 1973, ,UGMS STUDY - 1973, , , , , , , , , , , , , , , , , ,ORE U,EST,10.000,ST,1976,INFERRED AT .10% U3O8,TRIMBLE L. M.; 1976, ,0
160,2380,W014798,X1N,15 - TID BOT - 30,17 01, ,BLM,TRIMBLE; LARRY M.,BLM, ,GREEN RIVER DESERT DISTRICT,EMERY,UT,US,11,14,49, , ,SALINA,250000,4450 FT,4313875,554300,12,UNKNOWN PR,021S,014E,22, ,SALT LAKE,3.5 MILES NORTH 1 DEG EAST OF THE HANKSVILLE INTERCHANGE ON INTERSTATE HIGHWAY 70,MORE EXACT MERIDIAN LOCATION SE 1/4 SW 1/4 NW 1/4 SEC. 22; T 21S; R 14E,INCLINE #14 MINE,38-58-27N,110-22-23W,U V,TYUYAMUNITE; COFFINITE; CORVUSITE; URANINITE; MONTROSEITE, , , ,U,V, , , , ,L,PERIODIC FOLDS IN SUB - MORRISON SEDIMENTS SALERATUS GRABEN,7, ,1955,B, , ,ATLAS MINERALS CORP.,JACK WATERSON AND SONS,L60 - ECONOMIC STUDY (1957); L70 - ECONOMIC STUDY (1975 - 76),BEDDED; CLASTIC SEDIMENTARY ROCK; REPLACEMENT,PINCH AND SWELL; LENTICULAR,20,FT,50,FT,100,FT,25,FT,8,FT,MEDIUM,N 10 DEG E,8 DEG SE,NE,5 DEG,THE DEPOSITS ARE ELONGATE IN THE DIRECTION OF PALEOCHANNEL DEPOSITS.,50,FT,960,FT, , , , , , , ,LJUR,SANDSTONE; CONGLOMERATE, , ,LCRET,CALCITE; LIMONITE; PYRITE,PLANT REMAINS; PALEOCHANNELS,STABLE PLATFORM,SAN RAFAEL SWELL; UINTA BASIN; PARADOX FOLD - AND FAULT BELT,BLEACHING IN MUDSTONE AND SANDSTONE,PRIMARY ORE MINERALS PRECIPITATED IN A REDUCING ENVIRONMENT,LJUR,SALT WASH MEMBER OF MORRISON FORMATION, , , , , , ,MINERALIZATION IS LARGELY CONFINED TO PALEOCHANNELS AND IS CLOSELY RELATED TO PLANT REMAINS WHICH HAVE BEEN PARTIALLY OR WHOLLY REPLACED BY URANIUM AND/OR VANADIUM MINERALS., ,TRIMBLE; L. M. AND H. H. DOELLING; 1976; GEOLOGY AND URANIUM ORE DEPOSITS OF THE SAN RAFAEL RIVER MINING AREA: UTAH GEOL. AND MIN. SUR. BULLETIN (UNPUBLISHED),YOUNG; R. G. AND OTHERS; 1957; GEOLOGY OF THE SAN RAFAEL RIVER DESERT MINING DISTRICT; EMERY AND GRAND CO.; UTAH: USAEC RME - 98,CRAIG; L. C.; AND D. D. DICKEY; 1956; JURASSIC STRATA OF SOUTHEASTER UTAH AND SOUTHWESTERN COLO.: IAPG GUIDEBOOK; 7TH ANN. FIELD CONF. PP. 93 - 104),STOKES; W. L.; 1952; LOWER CRETACEOUS IN COLORADO PLATEAU: AAPG BULLETIN; VOL. 36 PP. 1766 - 1776,U, , , , , , ,U ACC, ,16.290,LB,1953-1973, ,UGMS STUDY - 1973,PRODUCTION FIGURE (G7A) MAY BE COMBINED WITH PRODUCTION FROM THE #15 (SHAFT) MINE ALTHOUGH PRODUCTIO, , , , , , , , , , , , , , , , ,ORE U,EST,3.00000,ST,1977,INFERRED AT .10% U3O8,TRIMBLE; L. M.; 1977, ,0
161,2123,DC13538,X1N, ,74 06, ,CONSV,CONSERVATION DIVISION FILES,USGS, ,UINTA,EMERY,UT,US, , , , , , ,0, ,0,0,0,UNKNOWN PR,018S,011E,04, ,SL, , ,CEDAR RIDGE #2, , ,U, , , , , , , , , , ,Y, ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,USAEC PROD. REPT., , ,CONSV. DIV. COMP. DATE; 12-23-1970, , , , , , , ,U EST, ,0.01000,TONS,1954-1955; 0, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
162,2152,DC13578,X1N, ,74 06, ,CONSV,CONSERVATION DIVISION FILES,USGS, ,GREEN RIVER,EMERY,UT,US, , , , , , ,0, ,0,0,0,UNKNOWN PR,021S,014E,22, ,SL, , ,WATERSON INCLINE, , ,U, , , , , , , , , , ,Y, ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,UTAH G & MS BULL. 79; 1966; P. 38, , ,CONSV. DIV. COMP. DATE; 06-14-1971, ,U EST, ,0.50000,TONS,1964, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
163,2159,DC13589,X1N, ,74 06, ,CONSV,CONSERVATION DIVISION FILES,USGS, , ,EMERY,UT,US, , , , , , ,0, ,0,0,0,UNKNOWN PR,022S,011E,30, ,SL,SW 1/4 SW 1/4, ,DONNA B, , ,U, , , , , , , , , , ,Y, ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,USGS BULL. 1046-D; 1957; PL. 2,USGS BULL. 1239; 1968; PL. 1, ,CONSV. DIV. COMP. DATE; 09-24-1970, , , , , , , ,U EST, ,0.10000,TONS,TO 1959, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
164,2165,DC13595,X1N, ,74 06, ,CONSV,CONSERVATION DIVISION FILES,USGS, , ,EMERY,UT,US, , , , , , ,0, ,0,0,0,UNKNOWN PR,022S,014E,08, ,SL,SE 1/4 SW 1/4, ,YELLOW QUEEN #1, , ,U V, , , , , , , , , , ,Y, ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,USGS MAP MF-54; 1957,USGS MAP I-591; 1971, ,CONSV. DIV. COMP. DATE; 09-21-1970, ,U EST, ,1.00000,TONS,1954, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
165,2171,DC13607,X1N, ,74 06, ,CONSV,CONSERVATION DIVISION FILES,USGS, , ,EMERY,UT,US, , , , , , ,0, ,0,0,0,UNKNOWN PR,023S,009E,27, ,SL,SE 1/4, ,LITTLE JOE, , ,U, , , , , , , , , , ,Y, ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,USGS BULL. 1046-D; 1957; PL 2,USGS BULL. 1239; 1968; PL. 1, ,CONSV. DIV. COMP. DATE; 09-24-1970, ,U EST, ,0.10000,TONS,1954, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
166,2178,DC13614,X1N, ,74 06, ,CONSV,CONSERVATION DIVISION FILES,USGS, , ,EMERY,UT,US, , , , , , ,0, ,0,0,0,UNKNOWN PR,023S,010E,20, ,SL, , ,GREEN VEIN #2, , ,U, , , , , , , , , , ,Y, ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,HILPERT'S FILE; USGS, , ,CONSV. DIV. COMP. DATE; 10-26-1970, ,U EST, ,0.10000,TONS,0.20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
